City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Latitude,Longitude,Avg_CO2_natural_pross
Albuquerque,2011,11.7585,13.406795132956152,0.4040336336633663,0.2055220947666195,34.56,-107.03,193891.25336038158
Albuquerque,2012,12.596916666666669,13.742087632311977,0.6469370766016713,0.1843764192200557,34.56,-107.03,190565.3256036093
Albuquerque,2013,13.630777777777778,11.7707440027894,0.7893405188284518,0.2149314365411436,34.56,-107.03,190013.4579393448
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,39.38,-76.99,202954.84062516445
Alexandria,2006,13.588583333333332,18.12910261688312,1.9974167045454545,0.3112501071428571,39.38,-76.99,206890.55162788602
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,39.38,-76.99,207704.80204842016
Alexandria,2008,12.764,14.36255804040404,2.259524863636364,0.1871287398989899,39.38,-76.99,202172.3482385219
Alexandria,2009,12.437666666666669,13.091658869767445,1.3619108302325582,0.1781715395348837,39.38,-76.99,189498.2881188209
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.1376934901960784,39.38,-76.99,195632.05760612834
Alexandria,2011,13.557250000000002,11.258673224299065,-0.1825372406542056,0.2844285046728972,39.38,-76.99,193891.25336038158
Alexandria,2012,13.996583333333334,10.355307355555556,0.364801237037037,0.1857231925925926,39.38,-76.99,190565.3256036093
Austin,2012,21.556083333333333,8.31354334375,0.485593484375,0.1483206875,29.74,-97.85,190565.3256036093
Austin,2013,22.182666666666663,5.478937816816817,0.4942541066066065,0.0924823648648648,29.74,-97.85,190013.4579393448
Bakersfield,2000,16.504083333333334,30.78556194736842,2.635454315789474,0.9134548245614036,36.17,-119.34,202954.84062516445
Bakersfield,2001,16.897583333333333,28.347502225,1.676077975,0.7948010125,36.17,-119.34,202533.04766948434
Baton Rouge,2000,21.0925,17.346074243169397,3.658712430327869,0.7566461953551912,29.74,-90.46,202954.84062516445
Baton Rouge,2001,20.861166666666666,17.359238772222223,3.691796738888889,0.8257890902777777,29.74,-90.46,202533.04766948434
Baton Rouge,2002,20.876916666666663,18.00752291291727,2.61275907256894,0.7157975195936139,29.74,-90.46,202507.2563167111
Baton Rouge,2003,20.629166666666663,15.562502252777778,3.362328555555556,0.6619541541666667,29.74,-90.46,205392.55136759096
Baton Rouge,2004,21.05875,15.816226016438357,3.4598764520547944,0.5618260150684932,29.74,-90.46,207367.67381894967
Baton Rouge,2005,21.251083333333334,15.650988969529086,4.407340498614959,0.4052915041551246,29.74,-90.46,207371.77631833442
Baton Rouge,2006,21.529916666666665,15.290715846153846,3.617944945054945,0.344164570054945,29.74,-90.46,206890.55162788602
Baton Rouge,2007,21.25275,15.199116918309858,2.574561514084507,0.3816942929577465,29.74,-90.46,207704.80204842016
Baton Rouge,2008,20.92725,13.10118895104895,2.395542344055944,0.2832722685314685,29.74,-90.46,202172.3482385219
Baton Rouge,2009,21.22975,12.87514347368421,1.9134634279778395,0.2213874695290859,29.74,-90.46,189498.2881188209
Baton Rouge,2010,20.33225,12.69854283002833,1.359624934844193,0.2472548654390935,29.74,-90.46,195632.05760612834
Baton Rouge,2011,21.168333333333333,11.665706710743802,1.247419834710744,0.2214975041322314,29.74,-90.46,193891.25336038158
Baton Rouge,2012,21.80841666666667,11.400542943661971,0.8244011042253522,0.2186826549295774,29.74,-90.46,190565.3256036093
Baton Rouge,2013,21.99522222222222,9.644705094444443,0.6352537291666667,0.2040162875,29.74,-90.46,190013.4579393448
Berkeley,2007,14.936749999999998,20.429033208333333,1.2527760833333332,0.4381321458333333,37.78,-122.03,207704.80204842016
Berkeley,2008,15.052833333333334,14.285866988950277,0.8784872044198895,0.2702733549723757,37.78,-122.03,202172.3482385219
Berkeley,2009,15.01975,12.862969158904107,0.9292672643835616,0.3317063164383562,37.78,-122.03,189498.2881188209
Berkeley,2010,14.670916666666663,12.852812118131869,0.7984879120879121,0.314625581043956,37.78,-122.03,195632.05760612834
Birmingham,2013,18.983888888888888,12.065634967741934,0.7503113064516129,0.2110068870967741,32.95,-87.13,190013.4579393448
Boston,2001,8.911416666666666,24.048433761538465,5.902048490384615,0.2977262576923077,42.59,-72.0,202533.04766948434
Boston,2002,9.01575,22.547330167875646,4.557525230569948,0.396308289119171,42.59,-72.0,202507.2563167111
Boston,2003,7.775666666666667,22.49630990958904,6.004032995890411,0.6186278013698631,42.59,-72.0,205392.55136759096
Boston,2004,8.089083333333333,16.820704006349207,3.636952896825397,0.1958289777777778,42.59,-72.0,207367.67381894967
Boston,2005,8.555916666666667,18.64907961318052,1.9711940243553008,0.2716493982808022,42.59,-72.0,207371.77631833442
Boston,2006,9.482583333333332,18.67690043611111,2.408004938888889,0.4563250388888889,42.59,-72.0,206890.55162788602
Boston,2007,8.3645,19.697182419889504,3.1667044074585635,0.3619070580110497,42.59,-72.0,207704.80204842016
Boston,2008,8.533666666666667,19.67869035890411,2.330869483561644,0.1732590219178082,42.59,-72.0,202172.3482385219
Boston,2009,8.069083333333333,18.048384709141278,2.126782941828255,0.2865348462603878,42.59,-72.0,189498.2881188209
Boston,2010,9.580166666666669,17.052750012448133,1.5808720235131395,0.2804197330567082,42.59,-72.0,195632.05760612834
Boston,2011,9.123583333333332,18.529944335164835,1.2489172087912088,0.2880492692307692,42.59,-72.0,193891.25336038158
Boston,2012,10.064666666666668,15.805084535564854,1.101261649232915,0.2773831311018131,42.59,-72.0,190565.3256036093
Boston,2013,10.375666666666667,17.477490663366336,1.0711304285714287,0.2732709398868458,42.59,-72.0,190013.4579393448
Burbank,2000,16.643333333333334,41.257662169398905,0.4877210409836065,1.3290164412568306,34.56,-118.7,202954.84062516445
Burbank,2001,16.46625,41.217735841225625,0.7320132883008357,1.1505969846796658,34.56,-118.7,202533.04766948434
Burbank,2002,16.430249999999997,40.10670307303371,1.9691980266853932,1.100346581460674,34.56,-118.7,202507.2563167111
Burbank,2003,16.944666666666667,35.584967268882174,1.3396468111782478,1.004099246223565,34.56,-118.7,205392.55136759096
Burbank,2004,16.552833333333336,32.68918599410029,2.5098256696165198,0.7827604955752213,34.56,-118.7,207367.67381894967
Burbank,2005,16.431416666666667,29.23221793184979,1.5565856307371349,0.7660838456189152,34.56,-118.7,207371.77631833442
Burbank,2006,16.623083333333334,27.38043720718232,0.6228245428176795,0.6633881864640884,34.56,-118.7,206890.55162788602
Burbank,2007,16.699916666666667,28.62392099449036,1.021101979338843,0.5737112878787879,34.56,-118.7,207704.80204842016
Burbank,2008,17.014750000000003,28.566472747252742,0.8311695164835164,0.5440176043956044,34.56,-118.7,202172.3482385219
Burbank,2009,16.677,26.74955663620072,0.4290827258064515,0.5066028637992831,34.56,-118.7,189498.2881188209
Burbank,2010,15.887,24.33295763087248,0.8880489647651008,0.4391048926174497,34.56,-118.7,195632.05760612834
Burbank,2011,15.874833333333331,23.14431981683169,0.3947509851485148,0.4880410297029703,34.56,-118.7,193891.25336038158
Burbank,2012,17.089583333333334,22.0470714,0.4898574033898305,0.4869425728813559,34.56,-118.7,190565.3256036093
Burbank,2013,18.12066666666667,20.73018256721312,0.3294506655737705,0.4346979180327869,34.56,-118.7,190013.4579393448
Charlotte,2000,16.428583333333332,15.374838230320702,3.772486897959184,0.6237655685131196,34.56,-81.73,202954.84062516445
Charlotte,2001,16.856583333333333,14.985133164893616,3.5063024920212764,0.5824548563829788,34.56,-81.73,202533.04766948434
Charlotte,2002,17.02241666666667,12.75540271779141,2.4451157055214723,0.4306636380368098,34.56,-81.73,202507.2563167111
Charlotte,2003,16.283833333333334,12.381948364197532,1.914247154320988,0.4889205540123457,34.56,-81.73,205392.55136759096
Charlotte,2004,16.784083333333335,11.069934685975609,2.1131565289634144,0.4310596341463414,34.56,-81.73,207367.67381894967
Charlotte,2005,16.712166666666665,12.433632451162792,2.1561983906976745,0.5177355674418604,34.56,-81.73,207371.77631833442
Charlotte,2006,17.035083333333333,12.285188430555555,2.6581683935185185,0.4035735486111111,34.56,-81.73,206890.55162788602
Charlotte,2007,17.478916666666667,13.916445365013775,2.9402462073002757,0.3752893650137741,34.56,-81.73,207704.80204842016
Charlotte,2008,16.65608333333333,11.208203371900826,2.070266874655647,0.3228514366391184,34.56,-81.73,202172.3482385219
Charlotte,2009,16.418333333333333,9.851958402857145,0.8021514999999999,0.2938760414285714,34.56,-81.73,189498.2881188209
Charlotte,2010,16.517666666666667,11.689251356741574,0.9044115351123596,0.3286665042134831,34.56,-81.73,195632.05760612834
Charlotte,2011,17.256333333333334,9.995173922644163,0.5708105450070323,0.3389694142053446,34.56,-81.73,193891.25336038158
Charlotte,2012,17.64225,8.671511397727272,0.2337694374999999,0.2804061826298701,34.56,-81.73,190565.3256036093
Charlotte,2013,17.705000000000002,8.482232184659091,0.2538279133522727,0.2886447336647727,34.56,-81.73,190013.4579393448
Chicago,2000,11.089666666666666,31.505439017667847,4.638735540636042,0.632211406360424,42.59,-87.27,202954.84062516445
Chula Vista,2000,16.90008333333333,16.75181835021097,2.657346656118144,0.8392986736990155,32.95,-117.77,202954.84062516445
Chula Vista,2001,16.374166666666667,16.84229596694215,3.3195518071625343,0.8122459132231404,32.95,-117.77,202533.04766948434
Chula Vista,2002,16.37275,17.64682638082192,3.6610823260273975,0.7368895767123288,32.95,-117.77,202507.2563167111
Chula Vista,2003,17.100166666666667,17.976403797222222,3.5725095,0.7381777430555556,32.95,-117.77,205392.55136759096
Chula Vista,2004,16.840666666666667,16.035611016438356,3.0387037493150686,0.7168729082191782,32.95,-117.77,207367.67381894967
Chula Vista,2005,16.9275,16.246088754189945,3.119088474860335,0.6754424162011173,32.95,-117.77,207371.77631833442
Chula Vista,2006,17.231583333333333,16.939481418282547,3.29137528531856,0.6114246606648199,32.95,-117.77,206890.55162788602
Chula Vista,2007,16.80275,15.18491302173913,2.671076710597826,0.6602940190217391,32.95,-117.77,207704.80204842016
Chula Vista,2008,17.211083333333335,14.729757578512398,2.2780406955922867,0.5963822961432507,32.95,-117.77,202172.3482385219
Chula Vista,2009,17.03125,13.403695090909087,1.9931025633608817,0.5488432796143251,32.95,-117.77,189498.2881188209
Chula Vista,2010,16.19216666666667,21.90458547619048,1.3305949047619048,0.729743873015873,32.95,-117.77,195632.05760612834
Cincinnati,2011,12.628166666666669,12.956988227188084,3.968014590316574,0.2602225698324022,39.38,-85.32,193891.25336038158
Cincinnati,2012,13.517916666666666,13.743478327586208,4.012345939655172,0.239785448275862,39.38,-85.32,190565.3256036093
Cincinnati,2013,13.398333333333332,11.978906229813663,2.429908181677019,0.243328552795031,39.38,-85.32,190013.4579393448
Cleveland,2011,11.04425,15.380731418994412,4.850873719273743,0.2938866592178771,40.99,-80.95,193891.25336038158
Cleveland,2012,11.965416666666668,13.836349414772728,3.035691644886364,0.2802539488636363,40.99,-80.95,190565.3256036093
Cleveland,2013,11.870666666666668,12.929070279452056,2.2648609089041094,0.2427127602739726,40.99,-80.95,190013.4579393448
Concord,2000,15.022,16.004768000000002,1.5555684641873275,0.6810223691460054,37.78,-122.03,202954.84062516445
Concord,2001,15.246916666666666,15.429124283950618,1.136249815500686,0.5623373401920438,37.78,-122.03,202533.04766948434
Concord,2002,14.996250000000002,14.673941554945054,0.7619151881868133,0.5061724684065935,37.78,-122.03,202507.2563167111
Concord,2003,15.425083333333331,13.4269500166205,0.5898020595567867,0.5070376094182826,37.78,-122.03,205392.55136759096
Concord,2004,15.374916666666666,12.251951951289398,1.0205283681948425,0.4597703022922636,37.78,-122.03,207367.67381894967
Concord,2005,15.17125,11.57402204109589,0.9527578424657536,0.4330296301369863,37.78,-122.03,207371.77631833442
Concord,2006,15.021,10.80075131780822,0.7645032479452054,0.3917717109589041,37.78,-122.03,206890.55162788602
Concord,2007,14.936749999999998,10.68001581369863,0.6879369671232877,0.3617940972602739,37.78,-122.03,207704.80204842016
Concord,2008,15.052833333333334,10.18149063114754,0.7959032527322404,0.366244349726776,37.78,-122.03,202172.3482385219
Concord,2009,15.01975,9.301283565934066,0.5630267101648352,0.3123467362637362,37.78,-122.03,189498.2881188209
Concord,2010,14.670916666666663,8.38724598022599,0.4347124533898305,0.3200842330508475,37.78,-122.03,195632.05760612834
Concord,2011,14.496583333333334,8.790378389041097,0.5809956726027398,0.3474247109589041,37.78,-122.03,193891.25336038158
Concord,2012,15.051583333333332,8.350508084931507,0.299966302739726,0.3228269780821918,37.78,-122.03,190565.3256036093
Concord,2013,16.233666666666668,9.14086371780822,0.4207455726027397,0.3378156273972603,37.78,-122.03,190013.4579393448
Costa Mesa,2000,16.90008333333333,19.570087912568304,1.85140937704918,0.812796400273224,32.95,-117.77,202954.84062516445
Costa Mesa,2001,16.374166666666667,16.36777570262391,1.3987307565597669,0.6050050903790087,32.95,-117.77,202533.04766948434
Costa Mesa,2002,16.37275,17.65604636005626,1.5482496026722927,0.548140563994374,32.95,-117.77,202507.2563167111
Costa Mesa,2003,17.100166666666667,18.039564515580736,1.004925028328612,0.57855814305949,32.95,-117.77,205392.55136759096
Costa Mesa,2004,16.840666666666667,15.815910291545189,1.5495810670553936,0.4794138906705539,32.95,-117.77,207367.67381894967
Costa Mesa,2005,16.9275,13.13834175528701,1.2587934667673717,0.2972380981873112,32.95,-117.77,207371.77631833442
Costa Mesa,2006,17.231583333333333,14.374990263610316,1.3098067378223497,0.3248008123209169,32.95,-117.77,206890.55162788602
Costa Mesa,2007,16.80275,13.261895999999998,0.8312208659217877,0.3115054748603352,32.95,-117.77,207704.80204842016
Costa Mesa,2008,17.211083333333335,13.175136673972602,1.148973410958904,0.3476993260273972,32.95,-117.77,202172.3482385219
Costa Mesa,2009,17.03125,13.017255157894736,1.106670267313019,0.2878423795013851,32.95,-117.77,189498.2881188209
Costa Mesa,2010,16.19216666666667,11.172932052197805,0.5648764587912087,0.2424615233516483,32.95,-117.77,195632.05760612834
Costa Mesa,2011,16.25575,10.987575689855072,0.2796479797101449,0.237483068115942,32.95,-117.77,193891.25336038158
Costa Mesa,2012,17.203583333333334,9.54613346686747,0.0704692409638554,0.1676696837349397,32.95,-117.77,190565.3256036093
Costa Mesa,2013,17.180777777777777,12.063294338735815,0.2222270340356564,0.2722997682333873,32.95,-117.77,190013.4579393448
Dallas,2000,18.896666666666665,18.496511986928105,0.948009688453159,0.392715522875817,32.95,-96.7,202954.84062516445
Dallas,2001,18.545333333333332,18.8544678625731,0.9933401315789474,0.3850971111111111,32.95,-96.7,202533.04766948434
Dallas,2002,18.194916666666668,18.39844870182841,0.3960901722925457,0.3371618579465542,32.95,-96.7,202507.2563167111
