City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,value,category,Latitude
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,5992438.03977823,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,7258973.11700554,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,7258973.11700554,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,109295.25441327,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,717473.935246073,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,205.737678618912,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,401400.224007895,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,15918.7768438676,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,17873.9194123821,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2000,12.27775,21.451082074766354,5.221786147196261,0.5072662476635513,4367.2296252,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,6042393.61487176,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,7316144.45592763,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,7316144.45592763,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,118056.262911877,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,719580.692062306,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,701.351638085384,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,410066.190856612,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,6343.25591565799,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,12764.3230125319,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2006,13.588583333333332,18.129102616883117,1.9974167045454545,0.3112501071428571,6238.7646588,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,6121653.86307212,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,7422207.96295139,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,7422207.96295139,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,129425.751384679,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,725974.6403866,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,574.867499859348,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,418985.162536219,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,7774.82315164493,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,11222.8830898663,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2007,13.133416666666667,16.871899733333333,2.974363896296296,0.2085004925925926,6595.9718304,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,5923201.37582301,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,7216415.07090248,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,7216415.07090248,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,133551.130676922,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,738889.54094161,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,595.280502868464,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,396777.08976209,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,6126.22507487454,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,10312.7504747029,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2008,12.764000000000001,14.362558040404041,2.2595248636363636,0.1871287398989899,6961.6776464,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,5488320.28042503,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,6776229.77387706,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,6776229.77387706,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,131990.986822223,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,735358.695211077,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,471.796632971868,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,399500.487260924,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,3926.58161697086,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,9297.93659545766,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2009,12.437666666666667,13.091658869767443,1.3619108302325582,0.1781715395348837,7363.0093124,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,5688756.00501015,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,6985457.05342726,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,6985457.05342726,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,141633.79781668,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,39.38
Alexandria,2010,13.280833333333334,13.6902696372549,1.353685262254902,0.13769349019607843,722410.566141546,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,39.38
