City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Avg_CO2_natural_pross,Latitude,Longitude,Cluster
New York,2011,11.7585,13.4067951329562,0.404033633663366,0.20552209476662,193891.253360382,34.56,-107.03,9
New York,2012,12.5969166666667,13.742087632312,0.646937076601671,0.184376419220056,190565.325603609,34.56,-107.03,9
New York,2013,13.6307777777778,11.7707440027894,0.789340518828452,0.214931436541144,190013.457939345,34.56,-107.03,9
"343 Obrecht Road, Sykesville",2000,12.27775,21.4510820747664,5.22178614719626,0.507266247663551,202954.840625164,39.38,-76.99,1
"343 Obrecht Road, Sykesville",2006,13.5885833333333,18.1291026168831,1.99741670454545,0.311250107142857,206890.551627886,39.38,-76.99,8
"343 Obrecht Road, Sykesville",2007,13.1334166666667,16.8718997333333,2.9743638962963,0.208500492592593,207704.80204842,39.38,-76.99,8
"343 Obrecht Road, Sykesville",2008,12.764,14.362558040404,2.25952486363636,0.18712873989899,202172.348238522,39.38,-76.99,10
"343 Obrecht Road, Sykesville",2009,12.4376666666667,13.0916588697674,1.36191083023256,0.178171539534884,189498.288118821,39.38,-76.99,2
"343 Obrecht Road, Sykesville",2010,13.2808333333333,13.6902696372549,1.3536852622549,0.137693490196078,195632.057606128,39.38,-76.99,2
"343 Obrecht Road, Sykesville",2011,13.55725,11.2586732242991,-0.182537240654206,0.284428504672897,193891.253360382,39.38,-76.99,2
"343 Obrecht Road, Sykesville",2012,13.9965833333333,10.3553073555556,0.364801237037037,0.185723192592593,190565.325603609,39.38,-76.99,2
Pickle Parkway,2012,21.5560833333333,8.31354334375,0.485593484375,0.1483206875,190565.325603609,29.74,-97.85,4
Pickle Parkway,2013,22.1826666666667,5.47893781681682,0.494254106606607,0.0924823648648648,190013.457939345,29.74,-97.85,20
"4135 South I Street, Tulare",2000,16.5040833333333,30.7855619473684,2.63545431578947,0.913454824561404,202954.840625164,36.17,-119.34,18
"4135 South I Street, Tulare",2001,16.8975833333333,28.347502225,1.676077975,0.7948010125,202533.047669484,36.17,-119.34,18
"Lafourche Parish, Louisiana",2000,21.0925,17.3460742431694,3.65871243032787,0.756646195355191,202954.840625164,29.74,-90.46,12
"Lafourche Parish, Louisiana",2001,20.8611666666667,17.3592387722222,3.69179673888889,0.825789090277778,202533.047669484,29.74,-90.46,12
"Lafourche Parish, Louisiana",2002,20.8769166666667,18.0075229129173,2.61275907256894,0.715797519593614,202507.256316711,29.74,-90.46,12
"Lafourche Parish, Louisiana",2003,20.6291666666667,15.5625022527778,3.36232855555556,0.661954154166667,205392.551367591,29.74,-90.46,12
"Lafourche Parish, Louisiana",2004,21.05875,15.8162260164384,3.45987645205479,0.561826015068493,207367.67381895,29.74,-90.46,12
"Lafourche Parish, Louisiana",2005,21.2510833333333,15.6509889695291,4.40734049861496,0.405291504155125,207371.776318334,29.74,-90.46,12
"Lafourche Parish, Louisiana",2006,21.5299166666667,15.2907158461538,3.61794494505495,0.344164570054945,206890.551627886,29.74,-90.46,12
"Lafourche Parish, Louisiana",2007,21.25275,15.1991169183099,2.57456151408451,0.381694292957747,207704.80204842,29.74,-90.46,12
"Lafourche Parish, Louisiana",2008,20.92725,13.101188951049,2.39554234405594,0.283272268531469,202172.348238522,29.74,-90.46,12
"Lafourche Parish, Louisiana",2009,21.22975,12.8751434736842,1.91346342797784,0.221387469529086,189498.288118821,29.74,-90.46,4
"Lafourche Parish, Louisiana",2010,20.33225,12.6985428300283,1.35962493484419,0.247254865439094,195632.057606128,29.74,-90.46,4
"Lafourche Parish, Louisiana",2011,21.1683333333333,11.6657067107438,1.24741983471074,0.221497504132231,193891.253360382,29.74,-90.46,4
"Lafourche Parish, Louisiana",2012,21.8084166666667,11.400542943662,0.824401104225352,0.218682654929577,190565.325603609,29.74,-90.46,4
"Lafourche Parish, Louisiana",2013,21.9952222222222,9.64470509444444,0.635253729166667,0.2040162875,190013.457939345,29.74,-90.46,4
"Alameda County, California",2007,14.93675,20.4290332083333,1.25277608333333,0.438132145833333,207704.80204842,37.78,-122.03,15
"Alameda County, California",2008,15.0528333333333,14.2858669889503,0.87848720441989,0.270273354972376,202172.348238522,37.78,-122.03,15
"Alameda County, California",2009,15.01975,12.8629691589041,0.929267264383562,0.331706316438356,189498.288118821,37.78,-122.03,9
"Alameda County, California",2010,14.6709166666667,12.8528121181319,0.798487912087912,0.314625581043956,195632.057606128,37.78,-122.03,9
"342 Fair Avenue, Centreville",2013,18.9838888888889,12.0656349677419,0.750311306451613,0.211006887096774,190013.457939345,32.95,-87.13,4
"444 Park Street, Gardner",2001,8.91141666666667,24.0484337615385,5.90204849038462,0.297726257692308,202533.047669484,42.59,-72.0,27
"444 Park Street, Gardner",2002,9.01575,22.5473301678756,4.55752523056995,0.396308289119171,202507.256316711,42.59,-72.0,27
"444 Park Street, Gardner",2003,7.77566666666667,22.496309909589,6.00403299589041,0.618627801369863,205392.551367591,42.59,-72.0,1
"444 Park Street, Gardner",2004,8.08908333333333,16.8207040063492,3.6369528968254,0.195828977777778,207367.67381895,42.59,-72.0,27
"444 Park Street, Gardner",2005,8.55591666666667,18.6490796131805,1.9711940243553,0.271649398280802,207371.776318334,42.59,-72.0,10
"444 Park Street, Gardner",2006,9.48258333333333,18.6769004361111,2.40800493888889,0.456325038888889,206890.551627886,42.59,-72.0,27
"444 Park Street, Gardner",2007,8.3645,19.6971824198895,3.16670440745856,0.36190705801105,207704.80204842,42.59,-72.0,27
"444 Park Street, Gardner",2008,8.53366666666667,19.6786903589041,2.33086948356164,0.173259021917808,202172.348238522,42.59,-72.0,27
"444 Park Street, Gardner",2009,8.06908333333333,18.0483847091413,2.12678294182826,0.286534846260388,189498.288118821,42.59,-72.0,22
"444 Park Street, Gardner",2010,9.58016666666667,17.0527500124481,1.58087202351314,0.280419733056708,195632.057606128,42.59,-72.0,22
"444 Park Street, Gardner",2011,9.12358333333333,18.5299443351648,1.24891720879121,0.288049269230769,193891.253360382,42.59,-72.0,22
"444 Park Street, Gardner",2012,10.0646666666667,15.8050845355649,1.10126164923292,0.277383131101813,190565.325603609,42.59,-72.0,22
"444 Park Street, Gardner",2013,10.3756666666667,17.4774906633663,1.07113042857143,0.273270939886846,190013.457939345,42.59,-72.0,22
Golden State Highway,2000,16.6433333333333,41.2576621693989,0.487721040983607,1.32901644125683,202954.840625164,34.56,-118.7,6
Golden State Highway,2001,16.46625,41.2177358412256,0.732013288300836,1.15059698467967,202533.047669484,34.56,-118.7,6
Golden State Highway,2002,16.43025,40.1067030730337,1.96919802668539,1.10034658146067,202507.256316711,34.56,-118.7,6
Golden State Highway,2003,16.9446666666667,35.5849672688822,1.33964681117825,1.00409924622357,205392.551367591,34.56,-118.7,6
Golden State Highway,2004,16.5528333333333,32.6891859941003,2.50982566961652,0.782760495575221,207367.67381895,34.56,-118.7,18
Golden State Highway,2005,16.4314166666667,29.2322179318498,1.55658563073713,0.766083845618915,207371.776318334,34.56,-118.7,18
Golden State Highway,2006,16.6230833333333,27.3804372071823,0.62282454281768,0.663388186464088,206890.551627886,34.56,-118.7,18
Golden State Highway,2007,16.6999166666667,28.6239209944904,1.02110197933884,0.573711287878788,207704.80204842,34.56,-118.7,18
Golden State Highway,2008,17.01475,28.5664727472527,0.831169516483516,0.544017604395604,202172.348238522,34.56,-118.7,18
Golden State Highway,2009,16.677,26.7495566362007,0.429082725806452,0.506602863799283,189498.288118821,34.56,-118.7,7
Golden State Highway,2010,15.887,24.3329576308725,0.888048964765101,0.43910489261745,195632.057606128,34.56,-118.7,7
Golden State Highway,2011,15.8748333333333,23.1443198168317,0.394750985148515,0.48804102970297,193891.253360382,34.56,-118.7,7
Golden State Highway,2012,17.0895833333333,22.0470714,0.489857403389831,0.486942572881356,190565.325603609,34.56,-118.7,7
Golden State Highway,2013,18.1206666666667,20.7301825672131,0.329450665573771,0.434697918032787,190013.457939345,34.56,-118.7,7
Charlotte,2000,16.4285833333333,15.3748382303207,3.77248689795918,0.62376556851312,202954.840625164,34.56,-81.73,14
Charlotte,2001,16.8565833333333,14.9851331648936,3.50630249202128,0.582454856382979,202533.047669484,34.56,-81.73,14
Charlotte,2002,17.0224166666667,12.7554027177914,2.44511570552147,0.43066363803681,202507.256316711,34.56,-81.73,14
Charlotte,2003,16.2838333333333,12.3819483641975,1.91424715432099,0.488920554012346,205392.551367591,34.56,-81.73,14
